,content,score
669,Is se to a6a hai YouTube pe dekh len😂🤣,1
670,Please solve the Partnership options.,4
671,Very good app sir..❤️,5
672,Nice,5
673,Brilliant,5
674,👌 👍 superb 👌 👏,5
675,Nice app,5
676,Very good,5
677,IPL Live score not show why,1
678,Fantastic,5
679,Pathetic approach.. No coverage on schedule of women cricket.. This shows tge thought process.. Is this app a trademark male cricket/sports dedicted app.. 👎👎,1
680,Awsome interface and broad initiative,5
681,best,5
682,cricbuzz zindabaad,3
683,Please provide individual player statics like kishan When click on kishan name than his individual statics present there Great initiative by sports tak woow all sports in one platform.. Great 👌,5
684,This application not accessible visually impaired,1
685,Good,3
686,Nice app,4
687,Good app one off the best ever,5
688,Good,5
689,Well done Vikrant sir and team❤️,5
690,Nyc,5
691,Thank you,5
692,"Please try to Make the contents ,features more premium like hotstar and sonyliv",5
693,Very good app,5
694,Mast,5
695,Best sports app 😄😊,5
696,loading... will rate good if they can make app smooth,2
697,Best app for sports.,5
698,Not working ...,1
699,Keep working hard sports tak team..,5
700,Super team aap nice ji,5
701,The best sports news channel in the world,5
702,Very good,5
703,Nice,4
704,Good,5
705,Super duper 💗,5
706,Good,5
707,surely the best,5
708,Cricket score update slove nd only ipl matches here,3
709,Nice,5
710,Was waiting for the app from a while best sports app loved it,5
711,Very good app,5
712,Superb,4
713,"Nice app... But Rahul Bhai aapne feedback dene bola tha... Sabse accha ye hoga agar aap isme google ki tarah yaa kisi aur app ki tarah, Cricket live score dikha paaye... Jaise bahut saare app hai jisme, TV me har ek ball se 2-3 second pehle, mobile app me Ipl matches yaa koi aur matches ke score update ho jaate hai... Waise hi koi system sports tak app me bhi le aao... Bahut sahi rahega...",5
714,Only news r on the app But they said that scores will be available too but it's not So disappointed with this Please add live scores and highlights of match ☺️,1
715,"Need to Improve, as live score is not showing.",3
716,This is one of the safest and most of the safest app in whole world,5
717,Very nice 👍,5
718,Super sport Tak team and congratulations all member,5
719,Bekar app h keh rhe the highlight milengi kha h IPL ki highlight isme,1
720,"This is too good and useful app for sports lover of "" खेल की दुनिया"" । ‌",5
721,Excellent 👌👌👌👌,5
722,Nice App...but More exepction I hope next few day app more better version...,4
723,Phenomenal,5
724,Best,5
725,Easy to use gud app,4
726,Nice work,5
727,Nice,5
728,No video highlights bewkoof banaya sports tak walo ne uninstalling this rubbish app only sports tak ke video upload kiye jaa rahe h are jaisa bola tha waisa karo,1
729,Superb,5
730,Poor app,1
731,Best,3
732,VERY NICE,5
733,Maind blowing app suparr,5
734,Good,5
735,Ii,5
736,Amazing,5
737,Good,5
738,Awesome,5
739,Nice app,5
740,Best app,5
741,Good,5
742,Mast hai yar,5
743,Good App,5
744,Very nice app,5
745,Nice अप्प,1
746,2 year,5
747,Fantastic app Spots tak,3
748,Good experience,1
749,Super,5
750,Best,5
751,"I am a big fan of vikrant sir. Its really exciting to see sports tak app. I have a request that to add features about other sports other than football also . Add sports related quiz, knowledge about other sports.Details of women cricket , Next hockey matches of india and other countries .",5
752,Nice,5
753,Excellent app,5
754,Yas,5
755,Sahi h aaps,1
756,You should have to change dark mode theme because dark theme is not attracted as much light theme mode . Dark is show very odd. So please change the theme in upadate as soon as possible ... And over all this aap features is very beneficial for all . very usefull and latest informative app. Please change dark mode as soon as possible.. thanks sportstak team and vikrat sir ❣️❣️❣️👍👍,4
757,Good,5
758,Nice,5
759,Nice,5
760,Nice application.,5
761,Not accessible with TalkBack special for blind person,1
762,One of the best app for sports lovers,5
763,Top,5
764,Koi kam nhi ye aap bhut slow aa,1
765,Nothing is coming on homescreen .,1
766,Suy app tnx,5
